,accommodates,bedrooms,bathrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews
7180,1,1.0,1.0,1.0,55.0,1,10,134
2860,5,3.0,1.0,3.0,160.0,4,20,5
5351,4,2.0,1.0,3.0,175.0,6,1125,82
1259,2,1.0,1.0,1.0,60.0,2,31,12
3502,4,2.0,1.0,2.0,79.0,2,20,29
4062,4,3.0,1.0,3.0,180.0,4,1125,5
7883,3,2.0,1.5,2.0,139.0,3,1125,138
912,4,1.0,1.0,3.0,136.0,30,1125,3
399,4,2.0,1.5,2.0,147.0,5,30,13
5253,2,1.0,1.0,1.0,200.0,3,50,138
6708,6,3.0,2.0,4.0,107.0,1,30,37
1811,10,4.0,3.0,7.0,517.0,2,30,53
4790,4,2.0,1.0,2.0,149.0,3,1125,5
5186,6,3.0,2.0,4.0,399.0,2,1125,63
209,2,1.0,1.0,1.0,40.0,2,14,1
1366,2,1.0,1.0,1.0,60.0,2,1125,0
7615,5,3.0,1.5,4.0,190.0,1,1125,153
7483,2,1.0,1.0,1.0,42.0,3,1125,22
7089,4,3.0,2.0,3.0,205.0,5,60,12
624,6,3.0,1.0,3.0,181.0,5,1124,2
3576,2,1.0,1.0,1.0,125.0,5,400,75
5109,2,1.0,0.5,1.0,53.0,6,21,59
3574,3,1.0,1.0,2.0,70.0,7,30,6
6569,2,1.0,1.0,1.0,60.0,2,1125,2
3267,5,2.0,2.0,3.0,210.0,91,1125,20
1588,3,1.0,1.0,2.0,169.0,3,1125,88
5646,4,2.0,2.0,3.0,420.0,3,1125,64
1891,2,0.0,1.0,1.0,75.0,30,200,24
928,2,1.0,1.0,1.0,70.0,2,30,381
2687,3,2.0,1.5,2.0,135.0,3,15,3
1379,4,1.0,1.0,1.0,79.0,5,14,89
599,8,4.0,2.0,5.0,290.0,4,30,23
183,2,1.0,1.0,1.0,120.0,3,30,140
3983,2,1.0,1.0,0.0,44.0,21,90,22
7167,16,1.0,0.5,1.0,800.0,2,45,8
3735,3,2.0,1.0,1.0,67.0,4,180,95
3868,2,1.0,1.0,1.0,90.0,2,1125,87
1041,2,1.0,1.0,1.0,40.0,11,27,4
354,3,1.0,1.0,2.0,73.0,5,365,13
4521,2,0.0,1.0,1.0,50.0,1,1125,0
2241,4,3.0,1.0,3.0,205.0,7,30,7
649,2,1.0,1.0,1.0,74.0,3,30,10
3539,3,1.0,1.0,2.0,73.0,6,40,27
6196,4,1.0,1.0,2.0,75.0,6,1125,0
3427,6,2.0,1.0,4.0,235.0,2,365,229
6181,6,3.0,2.0,3.0,227.0,5,120,137
3234,4,1.0,1.0,3.0,150.0,1,1125,0
7451,6,3.0,2.0,4.0,450.0,4,1125,3
62,2,1.0,1.0,1.0,128.0,2,60,344
1072,4,1.0,1.0,2.0,60.0,1,21,114
298,3,2.0,1.0,2.0,300.0,3,120,151
6985,2,0.0,1.0,1.0,70.0,5,1125,103
4980,2,0.0,1.0,1.0,10.0,2,15,5
2137,4,1.0,1.0,2.0,237.0,3,365,4
7533,3,1.0,1.0,2.0,70.0,1,1125,0
6351,4,2.0,1.0,2.0,69.0,2,1125,66
3218,4,1.0,1.0,1.0,90.0,2,1125,23
1215,2,1.0,1.0,1.0,85.0,3,15,19
557,3,2.0,1.0,2.0,120.0,4,7,8
3960,2,1.0,1.0,0.0,30.0,7,60,8
